STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TSUN,TMAX,TMIN,AWND,WDF5,WT09,WT14,WT07,WT01,WT15,WT17,WT06,WT21,WT05,WT02,WT11,WT22,WT04,WT13,WT16,WT08,WT18,WT03,WT10,WT19
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090823,0,-9999,222,133,26,340,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090824,0,-9999,256,122,17,340,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090825,0,-9999,289,144,10,210,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090826,0,-9999,300,156,15,270,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090827,0,-9999,328,183,11,170,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090828,3,-9999,289,189,25,230,-9999,-9999,1,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,1,-9999,1,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090829,0,-9999,261,150,40,280,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090830,0,-9999,228,100,31,360,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090831,0,-9999,228,106,35,70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090901,0,-9999,244,128,42,40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090902,0,-9999,272,133,30,40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090903,0,-9999,278,161,19,40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090904,0,-9999,283,172,17,100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090905,0,-9999,283,156,30,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090906,3,-9999,272,172,28,280,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090907,206,-9999,250,172,18,310,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,1,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090908,36,-9999,256,156,17,130,1,-9999,1,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090909,0,-9999,278,161,25,90,1,-9999,1,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1,1,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090910,0,-9999,261,161,36,100,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090911,0,-9999,267,144,26,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090912,0,-9999,256,128,26,220,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090913,0,-9999,261,117,24,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090914,0,-9999,283,122,16,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090915,0,-9999,294,150,12,50,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090916,0,-9999,278,167,54,40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090917,0,-9999,267,133,34,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
